Telefon\zmienne;Ocena;Cena;Pamiec wbudowana;Pamiec RAM;Waga (g);bateria (mAh);Zegar procesora (Mhz);roznica kwartalow;Megapiksele;Marka;Kolor
Honor X7a;6,25;599;128;4;196;6000;2300;4;50;Huawei;Bia造
Huawei nova Y61;5,5;599;64;4;188;5000;2200;5;50;Huawei;Czarny
Huawei nova Y61;5,5;578;64;4;188;5000;2200;5;50;Huawei;Niebieski
Huawei nova Y61;5,5;590;64;4;188;5000;2200;5;50;Huawei;Zielony
Huawei Nova 11 Pro;7,42;2699;256;8;193;4500;2400;3;50;Huawei;Czarny
Huawei Nova 11 Pro;7,42;3200;256;8;193;4500;2400;3;50;Huawei;Zielony
Honor 90;6,94;2499;256;8;183;5000;2500;3;200;Huawei;Czarny
Honor 90;6,94;2557;256;8;183;5000;2500;3;200;Huawei;Zielony
HUAWEI Mate X3;6,84;8500;512;12;240;4800;3200;4;50;Huawei;Czarny
HUAWEI Mate X3;6,84;9529;512;12;240;4800;3200;4;50;Huawei;Zielony
HUAWEI nova 11;7;2499;256;8;168;4500;2400;3;50;Huawei;Czarny
HUAWEI nova 11;7;2500;256;8;168;4500;2400;3;50;Huawei;Zielony
Huawei Nova 10SE;6,45;1089;128;8;184;4500;2400;6;108;Huawei;Czarny
Huawei Nova 10SE;6,45;999;128;8;184;4500;2400;6;108;Huawei;Czerwony
Huawei Nova 10SE;6,45;1615;128;8;184;4500;2400;6;108;Huawei;Srebrny
Huawei nova 10 Pro;7,1;4013;128;8;191;4500;2420;6;50;Huawei;Czarny
Huawei nova 10 Pro;7,1;2147;128;8;191;4500;2420;6;50;Huawei;Srebrny
Huawei nova 10 Pro;7,1;4017;256;8;191;4500;2420;6;50;Huawei;Czarny
Huawei nova 10 Pro;7,1;1859;256;8;191;4500;2420;6;50;Huawei;Srebrny
Honor X6A;5;1312;128;4;188;5200;2200;2;50;Huawei;Czarny
Honor X6A;5;833;128;4;188;5200;2200;2;50;Huawei;Niebieski
